vcaaCode,schoolName,sector,suburb,nCompletedY12,nOnTrackConsenters,nOnTrackRespondents,nInEducationBachelorEnrolled,nInEducationDeferred,nInEducationTafeOrVetEnrolled,nInEducationApprenticeOrTrainee,nNotInEducationEmployed,nNotInEducationLookingForWork,nNotInEducationOther
01006,SUNBURY COLLEGE,G,SUNBURY,109,109,72,22,10,22,15,21,7,3
01008,AUBURN HIGH SCHOOL,G,HAWTHORN EAST,33,32,21,57,24,5,0,14,0,0
01011,MCCLELLAND SECONDARY COLLEGE,G,FRANKSTON NORTH,91,48,30,20,17,20,13,17,13,0
01012,TIMBOON P-12 SCHOOL,G,CORANGAMITE - SOUTH,23,21,19,32,5,21,32,11,0,0
01015,METHODIST LADIES' COLLEGE,I,KEW,267,188,118,82,7,3,5,3,0,0
01020,PRESENTATION COLLEGE WINDSOR,C,PRAHRAN - WINDSOR,74,51,33,67,9,12,6,6,0,0
01026,SALESIAN COLLEGE,C,ASHWOOD - CHADSTONE,111,64,39,67,5,15,3,5,3,3
01028,ST MARY OF THE ANGELS COLLEGE,C,NUMURKAH,67,40,22,50,14,0,27,5,5,0
01029,WEDDERBURN COLLEGE,G,LODDON,16,15,13,31,23,23,0,15,8,0
01032,ST KEVIN'S COLLEGE,C,TOORAK,246,228,135,80,8,4,4,2,1,1
01033,CATHOLIC COLLEGE WODONGA,C,WEST WODONGA,131,88,59,44,15,12,10,17,0,2
01036,WESLEY COLLEGE,I,SOUTH YARRA - WEST,199,151,88,68,22,5,2,3,0,0
01037,COHUNA SECONDARY COLLEGE,G,GANNAWARRA,30,21,17,65,6,6,12,12,0,0
01038,KERANG TECHNICAL HIGH SCHOOL,G,KERANG,29,26,18,33,6,6,17,39,0,0
01039,BELLARINE SECONDARY COLLEGE,G,CLIFTON SPRINGS,128,103,82,32,21,12,15,15,6,0
01040,KEYSBOROUGH SECONDARY COLLEGE,G,KEYSBOROUGH,108,72,51,43,10,22,6,10,6,4
01043,KYNETON HIGH SCHOOL,G,KYNETON,58,43,34,21,9,21,26,18,6,0
01044,ROSEBUD SECONDARY COLLEGE,G,ROSEBUD - MCCRAE,113,107,71,35,20,4,7,27,7,0
01045,CAMBERWELL GRAMMAR SCHOOL,I,BALWYN,170,133,87,85,5,6,2,2,0,0
01049,ESSENDON KEILOR COLLEGE,G,ESSENDON - ABERFELDIE,117,109,73,51,3,10,21,5,10,1
01050,DE LA SALLE COLLEGE,C,MALVERN - GLEN IRIS,156,119,68,72,9,3,10,4,1,0
01051,ECHUCA COLLEGE,G,ECHUCA,53,51,30,23,17,20,0,27,10,3
01054,BUNDOORA SECONDARY COLLEGE,G,BUNDOORA - EAST,46,45,32,9,13,28,9,19,19,3
01057,SALESIAN COLLEGE,C,SUNBURY,166,150,84,56,14,11,10,8,1,0
01059,KINGSWOOD COLLEGE,I,BOX HILL,62,62,43,77,5,9,7,0,0,2
01060,BALLARAT HIGH SCHOOL,G,BALLARAT,187,178,116,41,10,5,10,28,4,1
01061,FRANKSTON HIGH SCHOOL,G,FRANKSTON SOUTH,250,249,178,57,12,10,7,10,3,1
01062,MONBULK COLLEGE,G,MONBULK - SILVAN,67,37,25,28,16,16,8,20,8,4
01064,MACLEOD COLLEGE,G,VIEWBANK - YALLAMBIE,58,47,36,56,11,17,11,3,3,0
01065,MENTONE GIRLS' GRAMMAR SCHOOL,I,MENTONE,86,69,48,83,6,8,2,0,0,0
01067,MATTHEW FLINDERS GIRLS SECONDARY COLLEGE,G,GEELONG,60,55,39,23,5,23,13,31,5,0
01070,SANTA MARIA COLLEGE,C,NORTHCOTE,150,123,83,86,5,2,2,2,2,0
01071,MONTMORENCY SECONDARY COLLEGE,G,MONTMORENCY - BRIAR HILL,106,104,69,38,23,7,14,12,4,1
01072,PRESBYTERIAN LADIES' COLLEGE,I,BURWOOD,161,125,88,94,3,0,0,2,0,0
01075,PENINSULA GRAMMAR,I,MOUNT ELIZA,144,117,63,73,8,2,8,5,3,2
01077,NORWOOD SECONDARY COLLEGE,G,RINGWOOD,152,151,107,32,13,18,11,18,7,1
01078,SACRED HEART GIRLS' COLLEGE,C,HUGHESDALE,157,145,106,79,5,9,2,3,2,0
01079,MONIVAE COLLEGE,C,SOUTHERN GRAMPIANS,56,54,37,32,30,3,16,16,3,0
01080,NATHALIA SECONDARY COLLEGE,G,NUMURKAH,19,15,12,8,0,17,17,50,8,0
01083,ST COLUMBA'S COLLEGE,C,ESSENDON - ABERFELDIE,151,141,79,77,8,9,0,5,1,0
01086,ORBOST SECONDARY COLLEGE,G,ORBOST,31,29,19,26,16,16,16,16,11,0
01089,STRATHMORE SECONDARY COLLEGE,G,STRATHMORE,238,185,138,64,10,11,4,10,1,0
01095,BRIGHTON GRAMMAR SCHOOL,I,BRIGHTON (VIC.),128,119,63,76,6,6,10,2,0,0
01096,LILYDALE HIGH SCHOOL,G,LILYDALE - COLDSTREAM,236,162,119,32,9,23,7,23,7,0
01098,EPPING SECONDARY COLLEGE,G,EPPING,175,173,112,43,7,17,6,12,11,4
01099,CAROLINE CHISHOLM CATHOLIC COLLEGE,C,BRAYBROOK,213,116,70,71,4,13,4,3,4,0
01100,MANSFIELD SECONDARY COLLEGE,G,MANSFIELD (VIC.),49,30,23,22,26,0,0,52,0,0
01101,WANGANUI PARK SECONDARY COLLEGE,G,SHEPPARTON - NORTH,154,152,102,30,17,11,15,19,8,1
01103,GLEN WAVERLEY SECONDARY COLLEGE,G,GLEN WAVERLEY - WEST,316,221,171,79,6,8,2,2,2,1
01106,EUROA SECONDARY COLLEGE,G,EUROA,37,34,24,46,8,8,13,13,8,4
01107,MILDURA SENIOR COLLEGE,G,MILDURA,332,285,190,41,16,12,8,19,3,1
01110,KILVINGTON GRAMMAR SCHOOL,I,ORMOND - GLEN HUNTLY,75,43,33,88,6,3,3,0,0,0
01113,TERANG COLLEGE,G,CORANGAMITE - NORTH,24,19,15,7,47,13,13,20,0,0
01115,LYNDALE SECONDARY COLLEGE,G,DANDENONG NORTH,109,58,44,50,14,14,16,5,2,0
01116,MENTONE GRAMMAR SCHOOL,I,MENTONE,190,189,122,75,12,6,3,1,2,1
01123,NORTHCOTE HIGH SCHOOL,G,NORTHCOTE,274,244,182,55,22,9,4,5,4,2
01124,SACRE COEUR,C,MALVERN - GLEN IRIS,91,70,51,92,4,4,0,0,0,0
01125,BIRCHIP P-12 SCHOOL,G,BULOKE,14,14,11,55,9,9,18,0,9,0
01126,THE HAMILTON AND ALEXANDRA COLLEGE,I,SOUTHERN GRAMPIANS,61,59,40,55,33,10,3,0,0,0
01128,BAYSWATER SECONDARY COLLEGE,G,BAYSWATER,20,16,15,13,7,20,20,20,20,0
01132,BRIGHTON SECONDARY COLLEGE,G,BRIGHTON EAST,170,110,68,62,15,9,4,1,9,0
01133,ST ALBANS SECONDARY COLLEGE,G,ST ALBANS - SOUTH,184,125,104,54,5,18,9,10,5,0
01134,TRINITY GRAMMAR SCHOOL KEW,I,KEW,161,140,88,77,11,2,5,2,2,0
01135,COBRAM SECONDARY COLLEGE,G,COBRAM,26,21,16,19,25,6,25,19,6,0
01137,BAYVIEW COLLEGE,I,PORTLAND,23,21,15,33,47,0,0,20,0,0
01139,GREENSBOROUGH SECONDARY COLLEGE,G,GREENSBOROUGH,71,49,32,34,9,31,9,3,13,0
01141,KYABRAM P-12 COLLEGE,G,KYABRAM,68,67,42,17,7,12,21,33,7,2
01142,ROCHESTER SECONDARY COLLEGE,G,ROCHESTER,37,29,17,35,12,6,24,12,6,6
01144,BETH RIVKAH LADIES COLLEGE,I,CAULFIELD - NORTH,20,20,15,27,27,0,33,0,13,0
01147,ELWOOD COLLEGE,G,ELWOOD,86,66,44,50,16,14,7,5,9,0
01149,NEERIM DISTRICT SECONDARY COLLEGE,G,MOUNT BAW BAW REGION,20,16,12,25,8,17,8,33,8,0
