taxYear,stateAbbrev,postcode,nIndividuals,nIndividualsWithTaxableIncomeOrLoss,taxableIncomeOrLossDollars,nIndividualsWithTaxOnTaxableIncome,,nIndividualsWithNetTax,,nIndividualsWithHelpDebt,,nIndividualsWithSalaryOrWages,salaryOrWagesDollars,nIndividualsWithTaxWithheldFromSalaryOrWages,,nIndividualsWithAustralianGovernmentAllowancesAndPayments,australianGovernmentAllowancesAndPaymentsDollars,nIndividualsWithAustralianGovernmentPensionsAndAllowances,australianGovernmentPensionsAndAllowancesDollars,nindividualsWithSuperIncomeTaxed,superIncomeTaxedDollars,nIndividualsWithSuperIncomeUntaxed,superIncomeUntaxedDollars,nIndividualsWithTotalIncomeOrLoss3,totalIncomeOrLoss3Dollars,nIndividualsWithWorkRelatedSelfEducationExpenses,workRelatedSelfEducationExpensesDollars,nIndividualsWithGiftsOrDonations,giftsOrDonationsDollars,nIndividualsWithTotalDeductions3,totalDeductions3Dollars,nIndividualsWithEmployerSuperannuationContributions,employerSuperannuationContributionsDollars,nIndividualsWithGrossRent,grossRentDollars,nIndividualsWithNetRentProfit,netRentProfitDollars,nIndividualsWithNetRentLoss,netRentLossDollars,nIndividualsWithLowAndMiddleIncomeTaxOffset,,nIndividualsWithPrivateHealthInsurance,nIndividualsWithPrivateHealthInsuranceAustGovRebateReceived,privateHealthInsuranceAustGovRebateReceivedDollars
2017/2018,ACT,2600,5962,5930,641711873,5216,188657453,4939,193781669,430,2241374,4047,388982242,3910,120988912,128,776786,152,1418462,147,1741883,1091,53815207,5941,667878694,293,828678,2446,3612219,4642,25126120,879,8393467,1585,46941388,645,7737755,962,-14092107,1844,542095,4791,3707,2790528
2017/2018,ACT,2601,2810,2763,182477415,1965,45726322,1839,47505275,280,1367322,2275,145511110,2188,41520023,211,1352597,26,230296,32,313043,187,8384009,2763,188271126,142,439006,680,616668,1607,5610178,237,1695381,449,12929719,160,1425888,293,-3948635,842,264294,1578,1072,616878
2017/2018,ACT,2602,20613,20483,1501063447,17529,360186331,16579,372647457,1892,8496036,16544,1220168135,16185,341319651,1095,6711103,775,7325494,517,5724416,2430,98691382,20491,1550616477,945,2214476,8038,7727560,15267,48567485,2570,19132442,3749,83005272,1503,12076948,2327,-23087033,7833,2370538,13909,11012,6406248
2017/2018,ACT,2603,6850,6800,792701438,6068,238629993,5817,246939229,700,3388233,4987,465270962,4847,143377350,170,943279,135,1464540,148,1939134,910,47352735,6814,828095534,298,831890,2666,9657306,5271,34414090,932,8749234,1738,52898582,700,7805276,1067,-16273652,2046,594318,5452,4133,2898353
2017/2018,ACT,2604,8265,8212,744635631,7374,195578104,7077,203762541,1092,5351254,6809,606667660,6698,180023259,288,1701444,228,2285040,194,2437365,821,35592700,8229,770578327,555,1410896,3145,4040831,6494,25158537,988,7738266,1977,48857860,723,5952358,1283,-13786899,2611,736655,5899,4682,2759568
2017/2018,ACT,2605,7699,7654,687335617,6637,184425887,6286,188988066,364,1695895,5570,491110742,5425,146056977,216,1338404,335,2891329,249,2732545,1417,61021546,7665,713270602,323,828913,3266,4200879,5987,25575430,1075,8287913,1643,40647717,657,6354881,1019,-12294665,2650,796541,6024,4701,3236386
2017/2018,ACT,2606,7055,7010,510299490,6127,122106145,5816,126855982,581,2632413,5630,401139099,5505,108175515,295,1844187,331,2907190,139,1624528,794,31207840,7017,529866426,416,1169903,2569,2236080,5368,18468869,786,5254206,1113,32218284,408,4459897,723,-9882239,2880,851138,4427,3633,2218269
2017/2018,ACT,2607,9527,9472,720318654,8168,177010353,7699,181966439,448,1991399,6951,535733615,6782,149605762,284,1583547,484,4239389,261,2774032,1618,68387914,9484,745489992,407,1033963,3851,2845153,7348,24532115,1270,9999346,1904,47532953,726,6862945,1202,-12962970,3670,1101136,7123,5627,3865512
2017/2018,ACT,2608,64,64,4568859,49,1153088,45,1178487,5,17085,40,3452882,40,1049235,4,27506,4,50448,5,58997,13,499402,64,4795797,3,13109,22,13577,51,226938,7,76577,17,468395,4,90423,13,-95102,14,3894,44,34,23152
2017/2018,ACT,2609,586,580,43796065,518,10902720,483,11452796,22,85120,476,28176568,462,7008374,60,425898,31,379698,11,104091,33,1123313,582,45521674,21,32167,170,78863,445,1545149,57,332185,91,3193281,41,1092434,52,-569372,289,84186,298,252,155884
2017/2018,ACT,2610,72,72,4018186,68,738192,67,746949,5,12925,69,4087872,69,870174,3,17276,0,0,0,0,0,0,72,4207864,6,4420,27,11122,62,189678,2,13751,10,221258,1,51161,9,-65196,52,13167,20,13,7093
2017/2018,ACT,2611,19703,19580,1442293360,17218,340673182,16256,350982963,1310,6062877,15249,1170821164,14940,322642686,652,3940550,1092,9502693,455,4409217,2885,117006955,19586,1490295396,980,2167172,8112,5298800,15364,47065259,2386,16003788,3415,71434566,1150,9011540,2314,-22357219,7417,2160973,14414,11890,7442311
2017/2018,ACT,2612,10926,10839,860818413,9442,216331952,9046,224393656,1585,7364223,9147,691044765,8963,196070724,631,3865411,153,1547659,204,2511514,1054,48694866,10841,889413035,718,1654778,3872,3681155,8021,27779325,1240,9189095,1962,51064148,730,6699696,1262,-14996264,4028,1172315,7232,5381,3088792
2017/2018,ACT,2614,12843,12750,898796076,10956,211467911,10226,216021888,688,2917335,9472,682759233,9265,186533970,551,3285137,723,6004171,310,3446550,2181,89622470,12767,929289205,577,1013380,5377,4384530,9771,30187231,1522,11093058,2147,48146635,808,7734242,1366,-12814959,5234,1567216,9066,7380,4769762
2017/2018,ACT,2615,28142,27935,1761871782,24343,376332884,22969,391395243,1539,6211164,22986,1516990964,22478,387875870,1274,7792369,1480,13509328,576,5380123,3149,117711369,27953,1817822540,1333,2420767,10799,5741363,21843,55197572,2937,16341495,3729,67761556,1012,6012414,2761,-25018771,12239,3563595,18020,15208,8789772
2017/2018,ACT,2616,160,158,12080505,138,2945084,130,3051055,3,11758,109,8540324,107,2302175,3,18243,11,84645,6,46600,27,1024424,159,12509504,1,1155,58,36408,132,428225,17,113243,53,1182786,30,171616,24,-202170,56,15597,111,88,52647
2017/2018,ACT,2617,22914,22739,1435294752,19246,315297229,18146,326478716,1730,7398436,18488,1197896980,18024,312702749,1220,7032996,856,7820370,398,4280670,2491,98088384,22760,1483892034,1255,2671761,8084,5007796,16920,47465696,2333,15410833,3692,83082277,1259,9420875,2484,-24474755,9854,2978810,14275,11650,6857419
2017/2018,ACT,2900,2034,2016,134673876,1797,29513234,1715,30585977,164,666829,1693,116142948,1665,30449419,79,471084,93,863182,34,371302,229,8776569,2018,138750351,119,214391,717,315513,1553,4003838,189,1004583,274,6542302,59,445135,219,-2601593,872,260095,1193,968,526810
2017/2018,ACT,2901,76,76,5650978,65,1357165,64,1315459,1,2815,51,4081145,49,1125734,0,0,3,24066,4,65219,18,634946,76,5836079,3,3502,30,18908,59,174226,5,47208,26,595681,12,76441,14,-227185,26,7987,49,46,34170
2017/2018,ACT,2902,9704,9634,626889176,8299,138840881,7764,142873573,452,1879079,7433,511491058,7301,135439960,415,2641326,555,4991770,279,2709531,1507,59887004,9642,647397466,403,781942,4033,2236632,7505,20294289,1127,6942651,1489,29070410,519,3331072,992,-10743991,4185,1229169,6701,5491,3377918
2017/2018,ACT,2903,6109,6079,397838746,5246,87741710,4953,90541195,282,1228815,4746,327169614,4655,86444390,214,1295054,308,2743695,172,1707400,912,35789381,6082,411765973,243,483574,2535,1383969,4699,13794882,738,5181494,1026,20375856,318,2161714,715,-6600840,2596,759442,4118,3391,2091275
2017/2018,ACT,2904,8758,8719,615017420,7602,142196891,7185,146098309,398,1542630,6724,485889346,6579,130437464,265,1646269,471,4036529,266,2507765,1423,56630765,8727,636375115,355,709417,3704,1784743,6906,21215471,1171,8475940,1552,31725596,475,2946305,1113,-11061899,3546,1026801,6662,5387,3350599
2017/2018,ACT,2905,18773,18666,1207316868,16520,260391608,15715,273187635,783,3000900,15943,1061356384,15653,269831363,735,4410981,776,7603789,534,5339122,1699,61435745,18677,1246886702,847,1283527,7445,3281808,14898,39346195,2093,13199341,2632,48626656,673,4345580,2008,-17596356,8399,2419654,11997,9772,5189098
2017/2018,ACT,2906,11581,11514,754805194,10171,163700701,9719,172293346,475,1882952,10016,676864809,9847,173313303,429,2450407,438,4273737,322,3140938,993,34548943,11515,778299220,541,820392,4616,1695606,9196,23317818,1297,7554425,1629,29559902,381,2110344,1278,-12402031,5042,1460012,7696,6133,3267513
2017/2018,ACT,2911,3104,3069,229749449,2717,54441460,2633,57466998,256,1116224,2646,208034589,2608,56690065,80,381308,72,603006,31,275566,157,6491254,3075,237179996,228,585439,1125,471330,2463,7173429,295,1786862,766,15872001,144,978227,636,-7344093,1157,332635,2094,1805,1004440
2017/2018,ACT,2912,4543,4498,267259847,3759,56853112,3575,59855346,274,1139115,3980,246359516,3875,61791099,227,1284494,89,1011091,50,512282,155,5682828,4502,275504509,249,558136,1268,565291,3294,8127630,351,1979436,792,17227852,202,1460259,601,-6256825,2067,647144,2382,1936,999549
2017/2018,ACT,2913,23539,23331,1576125421,20285,355156739,19349,373510725,1511,6255453,20088,1398460029,19660,365965900,810,4684334,706,6804019,426,3869924,1519,55557008,23356,1627470517,1339,2531005,8239,3862535,18147,49770320,2452,15011662,4174,88011569,1013,7128075,3237,-32813583,9759,2868865,14962,12257,6721606
2017/2018,ACT,2914,18116,17972,1251267789,15712,284677206,15180,301288132,1164,4874465,16237,1178515769,15891,309973575,663,3706992,367,3766670,208,1624959,578,19655745,17987,1289830307,1227,2120002,6159,2572146,14176,37921740,1719,9156160,3590,68163356,712,3773416,2970,-30445847,7182,2107254,11357,9496,4831492
2017/2018,ACT,,251,250,15357721,210,3382150,195,3564664,10,40231,208,13564424,201,3552097,15,91070,12,107814,5,26515,11,430131,250,16120138,11,12056,86,66705,196,762354,22,166831,41,1124071,14,207197,27,-254101,115,35750,126,108,59239
