taxYear,stateAbbrev,postcode,nIndividuals,nIndividualsWithTaxableIncomeOrLoss,taxableIncomeOrLossDollars,nIndividualsWithTaxOnTaxableIncome,taxOnTaxableIncomeDollars,nIndividualsWithNetTax,netTaxDollars,nIndividualsWithHelpDebt,helpDebtDollars,nIndividualsWithSalaryOrWages,salaryOrWagesDollars,nIndividualsWithTaxWithheldFromSalaryOrWages,taxWithheldFromSalaryOrWagesDollars,nIndividualsWithAustralianGovernmentAllowancesAndPayments,australianGovernmentAllowancesAndPaymentsDollars,nIndividualsWithAustralianGovernmentPensionsAndAllowances,australianGovernmentPensionsAndAllowancesDollars,nindividualsWithSuperIncomeTaxed,superIncomeTaxedDollars,nIndividualsWithSuperIncomeUntaxed,superIncomeUntaxedDollars,nIndividualsWithTotalIncomeOrLoss3,totalIncomeOrLoss3Dollars,nIndividualsWithWorkRelatedSelfEducationExpenses,workRelatedSelfEducationExpensesDollars,nIndividualsWithGiftsOrDonations,giftsOrDonationsDollars,nIndividualsWithTotalDeductions3,totalDeductions3Dollars,nIndividualsWithEmployerSuperannuationContributions,employerSuperannuationContributionsDollars,nIndividualsWithGrossRent,grossRentDollars,nIndividualsWithNetRentProfit,netRentProfitDollars,nIndividualsWithNetRentLoss,netRentLossDollars,nIndividualsWithLowAndMiddleIncomeTaxOffset,lowAndMiddleIncomeTaxOffsetDollars,nIndividualsWithPrivateHealthInsurance,nIndividualsWithPrivateHealthInsuranceAustGovRebateReceived,privateHealthInsuranceAustGovRebateReceivedDollars
2018/2019,ACT,2600,5953,5909,668405382,5162,198986197,4903,201643755,503,2489320,3997,397354834,3869,124798268,136,812457,147,1326754,130,1885847,1079,55173354,5925,695562250,245,721581,2335,4403954,4545,26485262,817,7678765,1618,47689427,716,7728718,914,-11981974,3408,2627526,4784,3658,2734340
2018/2019,ACT,2601,3083,3046,199996768,2064,51206380,1910,51744723,308,1501616,2480,154611443,2384,44182760,235,1497993,28,245815,35,270458,205,9446189,3048,206179717,137,452743,657,561600,1612,6074878,235,1377788,464,14604303,179,1782760,287,-3987287,1524,1114939,1619,1071,594061
2018/2019,ACT,2602,21263,21123,1609450057,18250,391761152,17069,395585251,2254,9516384,17143,1302491694,16786,366926896,1083,6557245,761,7504286,515,6041595,2477,103421209,21139,1660155871,933,2088065,7781,7878364,15399,49877293,2593,18075410,3760,85259252,1560,12949458,2238,-21101826,14122,10726977,14233,11205,6451889
2018/2019,ACT,2603,6978,6921,833462528,6220,252577664,5918,257959019,806,3749245,5070,493029561,4926,153549372,194,1246413,133,1422593,155,1897675,954,50982742,6934,868535089,296,950818,2505,7997244,5285,34333246,873,7892284,1748,56454917,718,9015062,1045,-15358404,4093,3221084,5491,4099,2890573
2018/2019,ACT,2604,8478,8430,776610757,7607,203959827,7254,208004476,1215,5999142,7023,638457918,6903,190377900,272,1653736,217,2094021,184,2037735,845,38231013,8442,802135739,528,1545042,3114,3529038,6551,25168845,1043,7331129,1956,50287444,711,6407054,1265,-13462509,5594,4374955,6038,4814,2792621
2018/2019,ACT,2605,7830,7785,712584101,6821,191022392,6392,192760807,469,2094304,5729,518665392,5572,155679586,233,1437173,317,2832297,229,2815387,1424,62738481,7792,739559101,311,912386,3226,4433973,6038,26383481,1071,7757056,1637,40939851,652,6268442,1001,-11076467,4833,3651554,6063,4730,3201847
2018/2019,ACT,2606,7248,7189,546627373,6371,131977027,6003,133133305,737,3225623,5819,430413031,5698,117194310,275,1771969,318,2801290,152,1741389,820,32765401,7199,565999504,414,1154721,2597,2103268,5465,18213234,772,4818679,1161,36124427,458,6192644,725,-8663551,5190,4135268,4507,3685,2232974
2018/2019,ACT,2607,9624,9564,777246264,8379,196295245,7825,196067869,578,2557814,6982,565365578,6828,160578450,267,1583168,468,3990189,255,2812764,1670,71746123,9576,803855664,393,1004161,3698,3124896,7356,26248591,1209,9161022,1838,48150240,708,7691485,1147,-11622801,6415,4929627,7157,5623,3868207
2018/2019,ACT,2608,69,69,5391370,55,1379847,49,1389157,2,3936,45,3847841,43,1158837,6,47941,3,15691,5,54127,10,450102,69,5592434,2,1506,24,11134,52,201064,11,78267,18,439610,5,96535,13,-111490,38,26705,49,38,25876
2018/2019,ACT,2609,592,585,41895143,510,10141088,464,10383288,28,100028,456,27867797,443,7128355,55,409325,37,500729,9,94236,31,1184181,588,43638785,17,22394,167,92478,430,1556145,47,210459,91,3092142,51,944794,40,-515049,413,324750,293,245,147020
